tags,gloss,type,subcategories
dance,dance,initial,
danger,dangerous,initial,
dark,dark,initial,
"dark
night","dark, night",initial,
dawn,dawn,initial,
"dawn
daylight","dawn, daylight",initial,
day,day,initial,
"day
sky","day, sky",initial,
daylight,daylight,initial,
"direction (this)
way (this)",de cette fac̹on/direction,initial,
night,de nuit,initial,
dead,dead,initial,
deceive,deceive,initial,
decorate,decorate,initial,
"decrease (mass)
lower","decrease the mass of, lower",initial,
deer,deer,initial,
defeat,defeat,initial,
defecate,defecate,initial,
"defecate
stink","defecate, stink",initial,
defecate,déféquer,initial,
surge,déferler,initial,
deflation,deflation,initial,
"deflect
move away","deflect, move away",initial,
degree,degree,initial,
deliberate,deliberate,initial,
"delicate
weak","delicate, weak",initial,
delicious,delicious,initial,
dent,dent,initial,
movement (against wind),déplacement effectué contre le sens du vent,initial,
movement (with wind),déplacement effectué dans le sens du vent,initial,
deprive,deprive (?),initial,
behind,derrière,initial,
"desire
intend
want","desire, want to, intend",initial,
destroy,destroy,initial,
two,deux,initial,
deviate (from course),dévier de sa trajectoire,initial,
"damp
dew","dew, damp",initial,
die,die,initial,
"die
sleep","die, sleep",initial,
different,different,initial,
difficult,difficult,initial,
"afflict
difficult
plight","difficult, plight, afflict",initial,
dig,dig,initial,
"den
dig
hole","dig, den, hole",initial,
diminish,diminish,initial,
dip,dip down,initial,
"dip
ladle","dip out, ladle",initial,
dirt,dirt,initial,
dirt,dirty,initial,
"dirty
loud
neglect
rough
waste","dirty, rough, loud, waste, neglect",initial,
"cross (A)
disagreeable","disagreeable, cross",initial,
disappear,disappear,initial,
disappear,disappearing from sight,initial,
discard,discard,initial,
discharge,discharge,initial,
dish,dish,initial,
"dish
plate","dish, plate",initial,
"dislocate
reverse","dislocate, reverse",initial,
distant,distant,initial,
divide,divide,initial,
"divide
half",divide in half,initial,
dizzy,dizzy,initial,
"dizzy
drunk","dizzy, drunk",initial,
badly,do badly,initial,
pull,do by pulling,initial,
"do again
recommence","do s.t. again, recommence doing s.t.",initial,
"act
do","do, act",initial,
doctor,doctor,initial,
doff,doff,initial,
dog,dog,initial,
"dog
horse","dog, horse",initial,
door,door,initial,
sleep,dormir,initial,
double,double,initial,
"doubled
folded","doubled, folded",initial,
doubt,doubt,initial,
down,down,initial,
at (bottom),"down at bottom, reference point at bottom",initial,
down,down from up,initial,
down,"down, down (from a point)",initial,
down,"down, from upright",initial,
down,"down, to prostration",initial,
down,"down, with surface contact",initial,
"downward, as sunset","downward, as sunset",initial,
downstream,downstream,initial,
downward,downward,initial,
"away
downward","downward with surface contact, away from the speaker",initial,
"downward
toward","downward with surface contact, toward the speaker",initial,
"downward
from","downward, non-surface contact, from agent/subject",initial,
"downward
toward","downward, non-surface contact, toward agent/subject",initial,
"downward
east","downward, non-surface contact; east",initial,
"downward
south","downward, south",initial,
downward,"downward, surface contact",initial,
downwind,downwind,initial,
draw,draw,initial,
drawn (towards),drawn towards,initial,
dream,dream,initial,
dress,dress,initial,
"dress
paint up","dress, paint up",initial,
dried,dried,initial,
drink (V),drink,initial,
"drink (N)
liquid","drink, liquid",initial,
"droop
hang down","droop, hang down",initial,
drop,drop,initial,
"drop
fail
miss","drop, miss, fail",initial,
"drowsy
sleepy","drowsy, sleepy",initial,
drum,drum (?),initial,
dry,dry,initial,
dry,dry (opposite of siihk-),initial,
"dry
hard",dry hard,initial,
dry out,dry out,initial,
dry up,dry up,initial,
"dry
hard","dry, hard",initial,
"dry
rough","dry, rough",initial,
"dry
wipe","dry, wipe clean",initial,
duck,duck,initial,
dig,dug,initial,
dull,dull,initial,
"blunt
dull","dull, blunt",initial,
"dung
eat",dung; eat,initial,
fall (N),during the fall,initial,
"spring (N)
thaw","during the spring, time of the thaw",initial,
summer,during the summer,initial,
winter,"during winter, over the course of winter",initial,
dust,dust,initial,
dust,dusty,initial,
"dirty
dusty","dusty, dirty",initial,
duty,duties,initial,
dwell,dwell,initial,
"dwell
live (in)","dwell with, live (in place)",initial,
dwelling,dwelling,initial,
dye,dye,initial,
each,each,initial,
eagle,eagle,initial,
early,earlier than desired or expected,initial,
early,earlier than usual,initial,
early,early,initial,
earth,earth,initial,
easily,easily,initial,
easy,easy,initial,
"cheap
easy","easy, cheap",initial,
eat,eat,initial,
"eating
stomach","eating, stomach",initial,
"around
edge","edge, around",initial,
eel,eel,initial,
effaced,effaced,initial,
egg,egg,initial,
eight,eight,initial,
elder,elder,initial,
elm,elm,initial,
"again
elsewhere
move","elsewhere, again, move",initial,
embark,embark,initial,
emerge,emerge,initial,
"emerge
protrude
visible","emerge, protrude, become visible",initial,
"emerge
stick out","emerge, stick out",initial,
employ,employ,initial,
"concave
empty
hole
hollow","empty, hole, hollow, concave",initial,
"empty
hollow","empty, hollow",initial,
"empty
rough
wrinkled","empty; wrinkled, rough",initial,
enclose,enclose,initial,
"enclose
inside","enclose, inside",initial,
enclosed,enclosed,initial,
enclosure,enclosure,initial,
end,end,initial,
"cease
end
quit
stop","end, stop, cease, quit",initial,
endure,endure,initial,
energetic,energetic,initial,
English,English,initial,
enough,enough,initial,
enter,enter,initial,
"enter
hole","enter into, hole",initial,
enter (water),enter the water,initial,
"enter
inside",enter/inside,initial,
"cover (N)
envelope","envelope, cover",initial,
"equal
facing","equal, facing",initial,
"equate
measure","equate, measure",initial,
erase,erase,initial,
erect,erect,initial,
erect (camp),erect camp,initial,
escape,escape,initial,
"evening
yesterday",evening yesterday,initial,
"evening
yesterday","evening, yesterday",initial,
way (every),every way,initial,
exact,exacting,initial,
exasperate,exaspéré,initial,
excess,excess,initial,
excessive,excessive,initial,
exchange,exchange,initial,
"excrement
soiled","excrement, soiled",initial,
exhaust,exhaust,initial,
"exhaust
finish",exhaust; finish,initial,
"exhausted
die","exhausted, die",initial,
"explode
pop","explode, pop",initial,
extend,extend,initial,
"extension (space)
extension (time)",extension in space or in time,initial,
"extension (space)
extension (time)",extension in time and space,initial,
extinguish,extinguish,initial,
"douse
extinguish","extinguish, douse",initial,
"extinguished
off
out
stopped","extinguished, out (of fire, light, or of something burning), off (of electricity or of something electric), stopped (of a motor or engine)",initial,
layer,extra layer,initial,
extract (liquid),extract liquid,initial,
"doff
empty
extract
remove","extract, empty, doff, remove",initial,
"extract
remove","extract, remove",initial,
extreme,extreme,initial,
extremely,extremely,initial,
"close (A)
extremely
violently","extremely, violently; very close to",initial,
face down,face down,initial,
face up,face up,initial,
facing,facing,initial,
fail,fail,initial,
fail,fail to do s.t.,initial,
"cannot
fail
unable","fail to, cannot, unable to",initial,
"fail
unable","fail, be unable",initial,
"cannot
fail
unable","fail, cannot, unable",initial,
"fail
lose
miss","fail, lose, miss",initial,
"fail
overload","fail, overload",initial,
fail,échoué,initial,
fairly,fairly,initial,
"fairly
pretty (ADV)","fairly, pretty (big, fast, etc.)",initial,
fall (V),fall,initial,
fall down,fall down,initial,
fall (V),fall from a height,initial,
fall over,fall over,initial,
"fall over
topple","fall over, topple",initial,
"autumn
fall (N)","fall, autumn",initial,
"fall
lie","fall, lie",initial,
"fallen (something tall, thin)",fallen over (of something tall and thin),initial,
fancy,fancy,initial,
"elegant
fancy","fancy, elegant",initial,
far,far,initial,
"far (from camp)
remote","far from camp, in a remote place",initial,
far,far off,initial,
fart,fart,initial,
farther,farther along,initial,
farther,farther away,initial,
"farther
more","farther, more",initial,
fast,fast,initial,
water (fast),fast water,initial,
"fast (A)
quick
swift","fast, quick, swift",initial,
"fast (A)
rapid (A)","fast, rapid",initial,
"clasp
close
clench
fasten
shut","fasten, close, shut, clasp, clench",initial,
fat,fat,initial,
fear,fear,initial,
feather,feather,initial,
"defecate
fecal
shitty
very","fecal, defecate, shitty, very",initial,
feed,feed,initial,
feel of,feel of,initial,
fellow,fellow,initial,
"female
woman",female,initial,
fence,fence,initial,
fetch,fetch,initial,
"fetch
go for","fetch, go for",initial,
"fetch
seek","fetch,seek",initial,
few,few,initial,
"fibre
greenery","fibre, greenery",initial,
fibrous,fibrous,initial,
fight,fight,initial,
"fight
war","fight, war",initial,
fill,fill,initial,
"emerge
fill",fill; emerge,initial,
filled,filled,initial,
"dirty
filthy
unclean","filthy, dirty, unclean",initial,
find,find,initial,
"find
remember","find, remember",initial,
fine,fine,initial,
"beautiful
fine","fine, beautiful",initial,
"fine
good","fine, good",initial,
"fine
small","fine, small",initial,
finish,finish,initial,
finish,finish -ing,initial,
"finish
heat",finish application of heat to,initial,
"done
finish","finish, done",initial,
finished,finished,initial,
firewood,firewood,initial,
firm,firm,initial,
"firm
sound (A)","firm, sound",initial,
"firm
tight","firm, tight",initial,
first,first,initial,
first,first (in a series),initial,
"ahead
first","first, ahead",initial,
"before
catch
first","first, before; catch",initial,
fish,fish,initial,
"fish
pike","fish, pike",initial,
fisher,fisher,initial,
"fit in
fit on",fit in/on,initial,
five,five,initial,
fix,fix,initial,
flat,flat,initial,
flat (on top),flat on top,initial,
tire (flat),flat-tired,initial,
"cut up
flay",flay and cut up,initial,
"body
flesh
meat","flesh, meat, body",initial,
float,float,initial,
flood,flood,initial,
flower,flower,initial,
fly,fly,initial,
foam,foam,initial,
"focus on
retain","focus on, retain",initial,
foggy,foggy,initial,
fold,fold,initial,
follow,follow,initial,
follow (trail),follow trail,initial,
"follow
pursue","follow, pursue",initial,
foot,foot,initial,
action (foot),foot action,initial,
action (for a long time),for a long time (actions),initial,
"for (a little while)
for (a short time)","for a short time, a little while",initial,
for good,for good,initial,
time,"for some length of time, an indeterminate amount",initial,
"across (time, space)
duration (time, space)","for the duration of, across (time or space)",initial,
"duration (full)
length (all)","for the full duration of, for all the length of",initial,
reason,for X reason,initial,
"against
control
forbid
talk","forbid, control, against, talk",initial,
"forbidden
taboo","forbidden, taboo",initial,
forehead,forehead,initial,
"fork
forked",fork(ed),initial,
forked,forked,initial,
"forth
love",forth; love,initial,
forward,forward,initial,
evil,"found in words for evil things, beings, concepts, or actions",initial,
four,four,initial,
fox,fox,initial,
free,free,initial,
"free
loose","free, loose",initial,
"free
let go
turn loose","free, turn loose, let go",initial,
freeze,freeze,initial,
French,French,initial,
friendly,friendly,initial,
fright,fright,initial,
frighten,frighten,initial,
fright,frightful,initial,
"frightful
terrible","frightful, terrible",initial,
"frayed
fringed
ragged","fringed, frayed, ragged",initial,
from,from,initial,
"from here
hence
thither
to there","from here to there, speaker/reference point remaining here",initial,
"from there
thence",from there,initial,
"from there
thence",from there (see: to here),initial,
"go (from there)
run (from there)","from there go, from there run, go from there, run from there",initial,
"from there
thence","from there, from that place (rel)",initial,
"from there
thence","from there, there - from",initial,
from (water),from water,initial,
from (where),from where,initial,
"from
reason",from; for the reason that,initial,
froze,frozen,initial,
full,full,initial,
